time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2019-05-07 07 PM,1.34793,1.34846,1.34691,1.34735,1.34809,1.34862,1.34707,1.34754
2019-05-07 08 PM,1.34738,1.34741,1.34676,1.34710,1.34757,1.34761,1.34693,1.34755
2019-05-07 09 PM,1.34688,1.34702,1.34684,1.34698,1.34733,1.34747,1.34729,1.34743
2019-05-07 10 PM,1.34694,1.34708,1.34672,1.34697,1.34739,1.34739,1.34706,1.34721
2019-05-07 11 PM,1.34701,1.34730,1.34691,1.34712,1.34722,1.34752,1.34715,1.34729
2019-05-08,1.34714,1.34739,1.34685,1.34692,1.34733,1.34757,1.34703,1.34708
2019-05-08 01 AM,1.34689,1.34704,1.34612,1.34636,1.34707,1.34724,1.34629,1.34656
2019-05-08 02 AM,1.34634,1.34733,1.34603,1.34634,1.34653,1.34759,1.34621,1.34651
2019-05-08 03 AM,1.34631,1.34660,1.34578,1.34642,1.34650,1.34677,1.34595,1.34659
2019-05-08 04 AM,1.34639,1.34642,1.34583,1.34586,1.34657,1.34660,1.34601,1.34605
2019-05-08 05 AM,1.34588,1.34623,1.34577,1.34617,1.34607,1.34641,1.34595,1.34637
2019-05-08 06 AM,1.34621,1.34623,1.34531,1.34540,1.34639,1.34641,1.34549,1.34559
2019-05-08 07 AM,1.34544,1.34640,1.34534,1.34592,1.34561,1.34656,1.34551,1.34609
2019-05-08 08 AM,1.34589,1.34691,1.34549,1.34654,1.34606,1.34710,1.34565,1.34671
2019-05-08 09 AM,1.34652,1.34776,1.34641,1.34766,1.34669,1.34793,1.34657,1.34784
2019-05-08 10 AM,1.34769,1.34858,1.34749,1.34757,1.34786,1.34876,1.34767,1.34776
2019-05-08 11 AM,1.34760,1.34804,1.34626,1.34634,1.34779,1.34821,1.34642,1.34650
2019-05-08 12 PM,1.34637,1.34665,1.34462,1.34629,1.34652,1.34681,1.34478,1.34645
2019-05-08 01 PM,1.34626,1.34731,1.34550,1.34612,1.34643,1.34748,1.34570,1.34631
2019-05-08 02 PM,1.34613,1.34709,1.34568,1.34598,1.34634,1.34726,1.34587,1.34617
2019-05-08 03 PM,1.34600,1.34696,1.34441,1.34589,1.34619,1.34713,1.34459,1.34602
2019-05-08 04 PM,1.34585,1.34723,1.34577,1.34647,1.34602,1.34740,1.34594,1.34664
2019-05-08 05 PM,1.34645,1.34749,1.34643,1.34714,1.34661,1.34768,1.34658,1.34731
2019-05-08 06 PM,1.34716,1.34783,1.34701,1.34756,1.34733,1.34804,1.34717,1.34773
2019-05-08 07 PM,1.34754,1.34850,1.34703,1.34806,1.34770,1.34866,1.34720,1.34822
2019-05-08 08 PM,1.34808,1.34824,1.34754,1.34759,1.34824,1.34840,1.34775,1.34804
2019-05-08 09 PM,1.34743,1.34776,1.34699,1.34742,1.34788,1.34821,1.34744,1.34787
2019-05-08 10 PM,1.34738,1.34763,1.34706,1.34717,1.34783,1.34794,1.34730,1.34737
2019-05-08 11 PM,1.34714,1.34735,1.34698,1.34732,1.34735,1.34752,1.34717,1.34750
2019-05-09,1.34735,1.34855,1.34707,1.34776,1.34751,1.34874,1.34726,1.34795
2019-05-09 01 AM,1.34774,1.34832,1.34740,1.34817,1.34793,1.34852,1.34761,1.34836
2019-05-09 02 AM,1.34815,1.34879,1.34808,1.34825,1.34834,1.34896,1.34825,1.34842
2019-05-09 03 AM,1.34822,1.34871,1.34797,1.34815,1.34841,1.34890,1.34814,1.34833
2019-05-09 04 AM,1.34817,1.34853,1.34807,1.34841,1.34836,1.34870,1.34825,1.34859
2019-05-09 05 AM,1.34843,1.34871,1.34815,1.34839,1.34862,1.34890,1.34836,1.34857
2019-05-09 06 AM,1.34840,1.34934,1.34840,1.34887,1.34860,1.34952,1.34860,1.34906
2019-05-09 07 AM,1.34885,1.34916,1.34816,1.34880,1.34903,1.34932,1.34835,1.34896
2019-05-09 08 AM,1.34877,1.34958,1.34831,1.34831,1.34893,1.34976,1.34846,1.34846
2019-05-09 09 AM,1.34832,1.34844,1.34768,1.34777,1.34849,1.34861,1.34784,1.34794
2019-05-09 10 AM,1.34779,1.34788,1.34716,1.34733,1.34796,1.34806,1.34734,1.34750
2019-05-09 11 AM,1.34730,1.34815,1.34726,1.34800,1.34748,1.34832,1.34744,1.34815
2019-05-09 12 PM,1.34802,1.34964,1.34795,1.34935,1.34818,1.34981,1.34812,1.34951
2019-05-09 01 PM,1.34932,1.35046,1.34899,1.34941,1.34949,1.35063,1.34917,1.34959
2019-05-09 02 PM,1.34943,1.34977,1.34779,1.34845,1.34963,1.34996,1.34795,1.34861
2019-05-09 03 PM,1.34847,1.34976,1.34820,1.34916,1.34864,1.34994,1.34836,1.34932
2019-05-09 04 PM,1.34913,1.34932,1.34739,1.34789,1.34931,1.34949,1.34757,1.34806
2019-05-09 05 PM,1.34787,1.34854,1.34709,1.34736,1.34803,1.34872,1.34728,1.34753
2019-05-09 06 PM,1.34734,1.34796,1.34583,1.34626,1.34751,1.34812,1.34599,1.34642
2019-05-09 07 PM,1.34629,1.34714,1.34587,1.34617,1.34645,1.34732,1.34605,1.34633
2019-05-09 08 PM,1.34614,1.34748,1.34588,1.34742,1.34632,1.34793,1.34605,1.34787
2019-05-09 09 PM,1.34693,1.34815,1.34633,1.34672,1.34738,1.34860,1.34678,1.34717
2019-05-09 10 PM,1.34668,1.34729,1.34661,1.34720,1.34713,1.34750,1.34700,1.34743
2019-05-09 11 PM,1.34720,1.34741,1.34645,1.34654,1.34738,1.34761,1.34661,1.34671
2019-05-10,1.34650,1.34670,1.34483,1.34519,1.34669,1.34697,1.34504,1.34540
2019-05-10 01 AM,1.34523,1.34523,1.34349,1.34385,1.34541,1.34541,1.34368,1.34405
2019-05-10 02 AM,1.34382,1.34617,1.34376,1.34606,1.34402,1.34638,1.34397,1.34631
2019-05-10 03 AM,1.34604,1.34693,1.34583,1.34680,1.34628,1.34711,1.34604,1.34698
2019-05-10 04 AM,1.34677,1.34728,1.34599,1.34720,1.34696,1.34747,1.34618,1.34739
2019-05-10 05 AM,1.34723,1.34765,1.34674,1.34684,1.34741,1.34784,1.34691,1.34702
