time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021-06-21 03 PM,1.39029,1.39172,1.39022,1.39131,1.39045,1.39187,1.39037,1.39147
2021-06-21 04 PM,1.39133,1.39317,1.39122,1.39274,1.39150,1.39332,1.39138,1.39290
2021-06-21 05 PM,1.39277,1.39336,1.39233,1.39284,1.39292,1.39354,1.39249,1.39301
2021-06-21 06 PM,1.39282,1.39343,1.39263,1.39276,1.39299,1.39361,1.39278,1.39294
2021-06-21 07 PM,1.39278,1.39362,1.39278,1.39313,1.39297,1.39379,1.39297,1.39328
2021-06-21 08 PM,1.39311,1.39346,1.39265,1.39307,1.39326,1.39381,1.39280,1.39367
2021-06-21 09 PM,1.39312,1.39340,1.39277,1.39338,1.39372,1.39400,1.39337,1.39398
2021-06-21 10 PM,1.39351,1.39351,1.39274,1.39293,1.39411,1.39411,1.39298,1.39313
2021-06-21 11 PM,1.39290,1.39307,1.39231,1.39234,1.39311,1.39327,1.39251,1.39256
2021-06-22,1.39233,1.39245,1.39076,1.39127,1.39252,1.39265,1.39094,1.39144
2021-06-22 01 AM,1.39124,1.39131,1.39002,1.39086,1.39141,1.39148,1.39020,1.39104
2021-06-22 02 AM,1.39088,1.39188,1.39058,1.39145,1.39107,1.39205,1.39076,1.39162
2021-06-22 03 AM,1.39142,1.39197,1.39123,1.39125,1.39161,1.39216,1.39140,1.39143
2021-06-22 04 AM,1.39127,1.39165,1.39082,1.39096,1.39147,1.39182,1.39103,1.39115
2021-06-22 05 AM,1.39099,1.39102,1.38914,1.38934,1.39117,1.39120,1.38932,1.38954
2021-06-22 06 AM,1.38937,1.39097,1.38937,1.39012,1.38955,1.39115,1.38955,1.39030
2021-06-22 07 AM,1.39016,1.39059,1.38774,1.38845,1.39032,1.39077,1.38790,1.38866
2021-06-22 08 AM,1.38849,1.38875,1.38656,1.38666,1.38867,1.38896,1.38672,1.38684
2021-06-22 09 AM,1.38669,1.38791,1.38596,1.38701,1.38687,1.38803,1.38611,1.38718
2021-06-22 10 AM,1.38699,1.38874,1.38682,1.38769,1.38715,1.38890,1.38696,1.38785
2021-06-22 11 AM,1.38772,1.39080,1.38772,1.38998,1.38788,1.39097,1.38788,1.39011
2021-06-22 12 PM,1.39000,1.39068,1.38798,1.38838,1.39014,1.39084,1.38814,1.38854
2021-06-22 01 PM,1.38835,1.38997,1.38794,1.38927,1.38851,1.39012,1.38810,1.38945
2021-06-22 02 PM,1.38929,1.39192,1.38887,1.39146,1.38947,1.39210,1.38903,1.39162
2021-06-22 03 PM,1.39143,1.39298,1.39119,1.39196,1.39161,1.39315,1.39133,1.39211
2021-06-22 04 PM,1.39194,1.39410,1.39183,1.39384,1.39208,1.39426,1.39199,1.39398
2021-06-22 05 PM,1.39381,1.39423,1.39354,1.39371,1.39397,1.39438,1.39370,1.39386
2021-06-22 06 PM,1.39373,1.39469,1.39355,1.39401,1.39389,1.39485,1.39373,1.39413
2021-06-22 07 PM,1.39403,1.39631,1.39401,1.39489,1.39417,1.39645,1.39416,1.39506
2021-06-22 08 PM,1.39491,1.39511,1.39430,1.39463,1.39508,1.39564,1.39470,1.39523
2021-06-22 09 PM,1.39474,1.39519,1.39303,1.39435,1.39534,1.39579,1.39363,1.39495
2021-06-22 10 PM,1.39425,1.39519,1.39425,1.39482,1.39485,1.39555,1.39485,1.39507
2021-06-22 11 PM,1.39485,1.39553,1.39476,1.39481,1.39508,1.39573,1.39500,1.39502
2021-06-23,1.39483,1.39519,1.39344,1.39390,1.39505,1.39537,1.39361,1.39412
2021-06-23 01 AM,1.39394,1.39423,1.39231,1.39289,1.39413,1.39442,1.39252,1.39310
2021-06-23 02 AM,1.39293,1.39337,1.39229,1.39285,1.39311,1.39356,1.39250,1.39303
2021-06-23 03 AM,1.39287,1.39340,1.39264,1.39294,1.39305,1.39359,1.39281,1.39314
2021-06-23 04 AM,1.39297,1.39311,1.39266,1.39303,1.39317,1.39332,1.39288,1.39320
2021-06-23 05 AM,1.39303,1.39400,1.39237,1.39387,1.39325,1.39418,1.39256,1.39405
2021-06-23 06 AM,1.39389,1.39626,1.39370,1.39617,1.39410,1.39643,1.39388,1.39635
2021-06-23 07 AM,1.39621,1.39870,1.39581,1.39787,1.39636,1.39888,1.39598,1.39804
2021-06-23 08 AM,1.39785,1.39832,1.39646,1.39688,1.39801,1.39848,1.39661,1.39706
